"Name","CompanyName"
"0install","bastian.eicher"
"1C.ParserLST","PavelA"
"1C.Utils","WillyNilly"
"1CMgmt","dmitriy_zer0day"
"1Cv83_InfoBaseManagement","saw-friendship"
"1Poshword","latkin"
"1Pwd","darrenjrobinson"
"2atCrm","peterruiter,bas"
"2atCrm9","peterruiter"
"2atGeneral","peterruiter,bas"
"2atMonitoring","peterruiter,bas"
"2atSql","peterruiter,bas"
"2atWeb","peterruiter,bas"
"365Admin","m.Riston"
"365AutomatedCheck","Clatent"
"365AutomatedLab","Clatent"
"365Tools","365Dude"
"3CX","xasz,oit-xasz"
"3LCourseAZ040","fv3"
"3LToolKit","fv3"
"3LWakeOnLan","fv3"
"3PAR-Powershell","equelin"
"4bitcss","Start-Automating"
"64SE","True-Kalichuza"
"6Print","jamesone"
"7-ZipSetupManager","chixus"
"7DaysToDieManager","imseandavis"
"7DWSM","imseandavis"
"7zip-Archive","Stadub"
"7Zip4Powershell","thoemmi"
"7ZipArchiveDsc","mkht"
"7zipWrapper","taalmahret"
"Ab","idwilliams"
"Abbr","wes"
"ABC","davidlee.enoch"
"abc_testing","fakerson.831"
"ABCModule","rajesh.balakrishnan"
"Aberus.AWS.Tools.EKS.KubeConfig","aberus"
"ABMPS","buckbanzai"
"AC-ITGlue","zemerick"
"AccessCmdlets","CData"
"AccessControlDSC","macoller,devopsjesus"
"Accessibility","HeyItsGilbert"
"Account.Record","JARVIS1916"
"AccountTracker","Przemyslaw.Klys"
"AcdLab","morg43"
"Ace.PowerShell","Yuvaraj-Devaraj"
"ACGCore","Adicitus"
"ACL-Permissions","bdukes,bdukes-engage,bdukes-engage1"
"ACLCleanup","Robert_Amartinesei"
"ACLHelpers","rleonard55"
"ACLReportTools","dscottraynsford"
"ACME-PS","TGlatzer"
"AcmeCoreModule","DevJan"
"ACMEDNS01Certificate","EddyBeaupre"
"ACMESharp","ebekker-posh"
"ACMESharp.Providers.AWS","ebekker-posh"
"ACMESharp.Providers.CloudFlare","ebekker-posh"
"ACMESharp.Providers.DNSMadeEasy","ebekker-posh"
"ACMESharp.Providers.IIS","ebekker-posh"
"ACMESharp.Providers.QCloud","fjch1997"
"ACMESharp.Providers.Windows","ebekker-posh"
"ACMESharpRoute53Automation","RobertBiddle"
"ACReaper","1Lou"
"Across-Solutions","dschneider"
"ActCRMCmdlets","CData"
"Action.Logging","gmorenet"
"ActionableMessages","Mynster"
"ActivateAll","chixus"
"ActivationScripts","chixus"
"ActiveBatch","Michael19842,maartenpiederiet"
"ActiveCampaignCmdlets","CData"
"ActiveDirectory-ps4all","nemanja-jovic"
"ActiveDirectory.Toolbox","Andriy.Zarevych"
"ActiveDirectoryCmdlets","CData"
"ActiveDirectoryCSDsc","PowerShellTeam,gaelcolas,dsccommunity"
"ActiveDirectoryDsc","PowerShellTeam,gaelcolas,dsccommunity"
"ActiveDirectoryFever","claudiospizzi"
"ActiveDirectoryObjectPicker","realslacker"
"ActiveDirectoryStig","michael.haken"
"ActiveDirectoryStructure","TheToor"
"ActiveDirectoryTools","michael.haken"
"ActiveUsersAudit","DrIOS"
"ActOnCmdlets","CData"
"ActPowerCLI","AnthonyVandewerdt,jeffoconnorau,jing"
"AcuInstallerHelper","lekker-solutions"
"AcumaticaCmdlets","CData"
"AcuPackageTools","lekker-solutions"
"ad-rbac","breakwaterlabs"
"ADACLs","theaquamarine"
"ADAL.PS","jasoth"
"adamcook-mycicdtestrepo","codaamok"
"AdamRest","Sergey.Krivopishin"
"ADAppFinder","DrIOS"
"Adapter-Control","asheroto"
"AdaptiveCard","alxcreate"
"ADAudit","markwragg"
"ADAuditTasks","DrIOS"
"ADAuth","Chirishman"
"Adb","claudiospizzi,rbicker"
"ADComputerRange","fredericpetit"
"ADConfiguration","davidobrien"
"ADCSTemplate","ashleymcglone"
"ADCSTemplateForPSEncryption","ashleymcglone"
"ADCSTemplateParser","janhenrik"
"ADCSTools","richardhicks"
"Add-AzFirewallRule","brain246"
"ADD-ENV","cn_codegod"
"Add-Git","KevinBuchs"
"Add-HostFileEntry","bdukes,bdukes-engage,bdukes-engage1"
"add-multipleusers","jtuttas"
"Add-Nine","shruti26"
"Add-PrefixForLogging","royashbrook"
"AddCustomAvailabilityDB","troyault"
"ADDefaultLocationDsc","Daniel.Snelling"
"AddGPLink","Martin_Binder"
"AddNoteProperty","tcartwright"
"ADDRS","Jos"
"ADDSActiveAccountAudit","DrIOS"
"ADDSAuditTasks","DrIOS"
"ADDSConfigurations","Princetimber"
"ADEssentials","Przemyslaw.Klys"
"adfs-management","Justin_DynamicD"
"ADFSConfigurationTools","shihan.pietersz"
"ADFSDiagnostics","dstefan,madhavpatel6"
"AdfsDsc","X-Guardian"
"ADFSToolbox","madhavpatel6"
"ADFSToolkit","favvojohan,EdKingscote_Canarie"
"ADGraph","Callidus2000,callidus2001"
"ADGroup.View","9whirls"
"ADGrouper","ramblingcookiemonster"
"ADGroupManager","jzmack"
"ADGroupMemberObjects","denisyfrolov"
"ADGroupOps","eswaras"
"AdhocAves.CommonFunctions","ThatDamnOwl"
"Adito","patto-sk"
"ADLDSMF","Fred"
"ADLSCmdlets","CData"
"ADManagement","Partitio"
"ADMF","FWN,Fred"
"ADMF.Core","FWN,Fred"
"Admin","PSModule.io"
"AdminByRequest","colombeen"
"AdministrativeAddOn","PeterRemstad"
"AdministratorRole","bdukes,bdukes-engage,bdukes-engage1"
"AdminToolbox","TaylorLee"
"AdminToolbox.ActiveDirectory","TaylorLee"
"AdminToolbox.EndpointManagement","TaylorLee"
"AdminToolbox.Exchange","TaylorLee"
"AdminToolbox.FFTools","TaylorLee"
"AdminToolbox.FileManagement","TaylorLee"
"AdminToolbox.FortiWizard","TaylorLee"
"AdminToolbox.Fun","TaylorLee"
"AdminToolbox.MSGraph","TaylorLee"
"AdminToolbox.Networking","TaylorLee"
"AdminToolbox.Office365","TaylorLee"
"AdminToolbox.Remoting","TaylorLee"
"AdminToolbox.SecOps","TaylorLee"
"AdminToolbox.VMWareAutomate","TaylorLee"
"AdminToolkit","matthewjdegarmo"
"ADMirror","fARTy"
"AdmPwd.PS","JiriF"
"AdmxPolicy","stknohg"
"ado.core","remixod"
"ado.tools","remixod"
"AdoAzHelper","gogbg"
"AdoAzureHelper","louiswu95"
"AdoBauTaskGen","sekrab"
"AdobeAnalyticsCmdlets","CData"
"AdobeCommerceCmdlets","CData"
"AdobeGPOTemplates","Emin"
"AdobeUM.AzureAD","mrptsai"
"ADObjectHealthScan","Fred"
"ADObjectOwner","tomstryhn"
"AdoExtensions","gogbg"
"adolib","MikeShepard"
"ADOPowershellGet","SagMor"
"ADOPS","bjompen"
"Adoxio.Dynamics.DevOps","amervitz,adoxio"
"ADPCmdlets","CData"
"ADPFunctions","cdarais"
"ADPlayground","Przemyslaw.Klys"
"ADPolicyAudit","doesitscript"
"ADReportingTools","JeffHicks"
"ADSchema","andyschneider"
"ADSec","FWN"
"ADSecurityReporter","farismalaeb"
"ADServices","Pxtl"
"Adsi","IMJLA"
"AdsiPS","lazywinadm"
"ADSNotebook","SQLDBAWithABeard"
"ADSyncTools","Nuno.Alex"
"ADtoO365","BT_AJouharyan,schuhran,cjones"
"ADTools","OzThe2"
"ADUserGroup","dailen"
"AdUserLockoutInformation","shihan.pietersz"
"ADUserManagement","Julianzs"
"Advanced-Threat-Analytics","POSH_Spice"
"AdvancedADManagement","MosaicMKSoftwareLLC"
"AdvancedCriteriaBasedGroups","mariussm"
"AdvancedHistory","omniomi"
"AdvancedLog","MaikKram"
"AdvancedLogging","iwanttosleep"
"AdvancedVPNDeployment","powershellcoder"
"AdvReg","jborean93"
"ADWinHostFirewallExport","DrIOS"
"AemToolkit","leoxy520"
"AeriesApi","jamesl"
"AeroFetch","PoorlyExecuted"
"AES","goldparrot827"
"AES256","jrotello"
"Aeson","Gaetan.Jaminon"
"AesString","chrisstone"
"AffectedKeyCredentials","jeoshin"
"AffinityAPI","burkasaurusrex"
"aFunctions","SupSkiFun"
"AgedFileManagement","pr_prakash78"
"AgileCli","nick.spreitzer"
"AGMPowerCLI","AnthonyVandewerdt,jeffoconnorau,yogig,jing,satya_srikanth,rajeshkrmekala"
"AGMPowerLib","AnthonyVandewerdt,jeffoconnorau,yogig,jing,satya_srikanth,rajeshkrmekala"
"AHSPSUtil","FilipJohanssonAHS"
"AHSUtil","FilipJohanssonAHS"
"AiLogging","JiriF"
"Aimtec_QRCodeGenerator","hraj"
"AIMTEC-IM_module","hraj"
"AIProductivityKit","DougFinke"
"AIPScannerConfig","DaveGoldman"
"AIPService","AzureRMS"
"AiRE","storvixab"
"Airpower","troyaf"
"AirtableCmdlets","CData"
"AitonVPNTools","PatrykMilewski"
"AIToolkit","chrissylemaire"
"aitools","chrissylemaire"
"AjaySampleModule","Ajay458"
"Ajustee.Client","ajustee"
"Akamai","stuart-macleod-akamai,skearney"
"Akamai.APIDefinitions","stuart-macleod-akamai,skearney"
"Akamai.APIKeyManager","stuart-macleod-akamai,skearney"
"Akamai.AppSec","stuart-macleod-akamai,skearney"
"Akamai.ChinaCDN","stuart-macleod-akamai,skearney"
"Akamai.ClientLists","stuart-macleod-akamai,skearney"
"Akamai.CloudAccessManager","stuart-macleod-akamai,skearney"
"Akamai.Cloudlets","stuart-macleod-akamai,skearney"
"Akamai.CloudWrapper","stuart-macleod-akamai,skearney"
"Akamai.Common","stuart-macleod-akamai,skearney"
"Akamai.Contracts","stuart-macleod-akamai,skearney"
"Akamai.CPCodes","stuart-macleod-akamai,skearney"
